"name","gender","age","class","embarked","country","ticketno","fare","sibsp","parch","survived"
"Abbing, Mr. Anthony","male",42,"3rd","S","United States",5547,7.11,"0","0","no"
"Abbott, Mr. Eugene Joseph","male",13,"3rd","S","United States",2673,20.05,"0","2","no"
"Abbott, Mr. Rossmore Edward","male",16,"3rd","S","United States",2673,20.05,"1","1","no"
"Abbott, Mrs. Rhoda Mary 'Rosa'","female",39,"3rd","S","England",2673,20.05,"1","1","yes"
"Abelseth, Miss. Karen Marie","female",16,"3rd","S","Norway",348125,7.13,"0","0","yes"
"Abelseth, Mr. Olaus Jørgensen","male",25,"3rd","S","United States",348122,7.13,"0","0","yes"
"Abelson, Mr. Samuel","male",30,"2nd","C","France",3381,24,"1","0","no"
"Abelson, Mrs. Hannah","female",28,"2nd","C","France",3381,24,"1","0","yes"
"Abi-Al-Munà, Mr. Nasif Qasim","male",27,"3rd","C","Lebanon",2699,18.1509,"0","0","yes"
"Abrahamsson, Mr. Abraham August Johannes","male",20,"3rd","S","Finland",3101284,7.1806,"0","0","yes"
"Ådahl, Mr. Mauritz","male",30,"3rd","S","Sweden",7076,7.05,"0","0","no"
"Adams, Mr. John","male",27,"3rd","S","England",341826,8.01,"0","0","no"
"Ahlin, Mrs. Johanna Persdotter","female",40,"3rd","S","Sweden",7546,9.0906,"1","0","no"
"Aks, Master. Frank Philip","male",0.8333333333,"3rd","S","England",392091,9.07,"0","1","yes"
"Aks, Mrs. Leah","female",18,"3rd","S","England",392091,9.07,"0","1","yes"
"Aldworth, Mr. Augustus Henry","male",35,"2nd","S","England",248744,13,"0","0","no"
"Alexander, Mr. William Albert","male",25,"3rd","S","England",3474,7.1709,"0","0","no"
"Alhomäki, Mr. Ilmari Rudolf","male",19,"3rd","S","Finland",3101287,7.1806,"0","0","no"
"Ali, Mr. Ahmed","male",24,"3rd","S","Argentina",3101311,7.01,"0","0","no"
"Ali, Mr. William","male",25,"3rd","S","Argentina",3101312,7.01,"0","0","no"
"Allen, Miss. Elisabeth Walton","female",29,"1st","S","United States",24160,211.6009,"0","0","yes"
"Allen, Mr. William Henry","male",39,"3rd","S","England",373450,8.01,"0","0","no"
"Allison, Master. Hudson Trevor","male",0.9166666667,"1st","S","Canada",113781,151.16,"1","2","yes"
"Allison, Miss. Helen Loraine","female",2,"1st","S","Canada",113781,151.16,"1","2","no"
"Allison, Mr. Hudson Joshua Creighton","male",30,"1st","S","Canada",113781,151.16,"1","2","no"
"Allison, Mrs. Bessie Waldo","female",25,"1st","S","United States",113781,151.16,"1","2","no"
"Allum, Mr. Owen George","male",18,"3rd","S","England",2223,8.06,"0","0","no"
"Al-Munà, Mr. Farid Husayn Qasim","male",19,"3rd","C","Lebanon",2700,7.0407,"0","0","no"
"Andersen-Jensen, Miss. Carla Christine Nielsine","female",19,"3rd","S","Denmark",350046,7.1701,"1","0","yes"
"Andersen, Mr. Albert Karvin","male",33,"3rd","S","Norway",4001,22.1006,"0","0","no"
"Anderson, Mr. Harry","male",47,"1st","S","United States",19952,26.11,"0","0","yes"
"Andersson, Master. Sigvard Harald Elias","male",4,"3rd","S","Sweden",347082,31.0506,"4","2","no"
"Andersson, Miss. Ebba Iris Alfrida","female",6,"3rd","S","Sweden",347082,31.0506,"4","2","no"
"Andersson, Miss. Ellis Anna Maria","female",2,"3rd","S","Sweden",347082,31.0506,"4","2","no"
"Andersson, Miss. Erna Alexandra","female",16,"3rd","S","Finland",3101281,7.1806,"4","2","yes"
"Andersson, Miss. Ida Augusta Margareta","female",38,"3rd","S","Sweden",347091,7.1506,"4","2","no"
"Andersson, Miss. Ingeborg Constanzia","female",9,"3rd","S","Sweden",347082,31.0506,"4","2","no"
"Andersson, Miss. Sigrid Elisabeth","female",11,"3rd","S","Sweden",347082,31.0506,"4","2","no"
"Andersson, Mr. Anders Johan","male",39,"3rd","S","Sweden",347082,31.0506,"1","5","no"
"Andersson, Mr. Johan Samuel","male",26,"3rd","S","Sweden",347075,7.1506,"0","0","no"
"Andersson, Mrs. Alfrida Konstantia Brogren","female",39,"3rd","S","Sweden",347082,31.0506,"1","5","no"
"Andreasson, Mr. Pål Edvin","male",20,"3rd","S","Sweden",347466,7.1701,"0","0","no"
"Andrew, Mr. Edgar Samuel","male",17,"2nd","S","Argentina",231945,11.1,"0","0","no"
"Andrew, Mr. Frank Thomas","male",27,"2nd","S","England",34050,10.1,"0","0","no"
"Andrews, Miss. Kornelia Theodosia","female",62,"1st","C","United States",13502,77.1902,"1","0","yes"
"Andrews, Mr. Thomas","male",39,"1st","B","Northern Ireland",112050,NA,"0","0","no"
"Angheloff, Mr. Minko","male",26,"3rd","S","Bulgaria",349202,7.1711,"0","0","no"
"Angle, Mrs. Florence Agnes","female",36,"2nd","S","England",226875,26,"1","0","yes"
"Angle, Mr. William","male",31,"2nd","S","England",226875,26,"1","0","no"
"Appleton, Mrs. Charlotte","female",53,"1st","S","United States",11769,51.0907,"2","0","yes"
"Arnold-Franchi, Mr. Josef","male",25,"3rd","S","Switzerland",349237,17.16,"1","0","no"
"Arnold-Franchi, Mrs. Josefine","female",18,"3rd","S","Switzerland",349237,17.16,"1","0","no"
"Aronsson, Mr. Ernst Axel Algot","male",25,"3rd","S","Sweden",349911,7.1506,"0","0","no"
"Artagaveytia, Mr. Ramon","male",71,"1st","C","Argentina",17609,49.1001,"0","0","no"
"Ashby, Mr. John","male",57,"2nd","S","England",244346,13,"0","0","no"
"Asim, Mr. Adola","male",35,"3rd","S","Argentina",3101310,7.01,"0","0","no"
"Asplund, Master. Carl Edgar","male",5,"3rd","S","Sweden",347077,31.0709,"4","2","no"
"Asplund, Master. Clarence Gustaf Hugo","male",9,"3rd","S","Sweden",347077,31.0709,"4","2","no"
"Asplund, Master. Edvin Rojj Felix","male",3,"3rd","S","Sweden",347077,31.0709,"4","2","yes"
"Asplund, Master. Filip Oscar","male",13,"3rd","S","Sweden",347077,31.0709,"4","2","no"
"Asplund, Miss. Lillian Gertrud","female",5,"3rd","S","Sweden",347077,31.0709,"4","2","yes"
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson","male",40,"3rd","S","Sweden",347077,31.0709,"1","5","no"
"Asplund, Mr. Johan Charles","male",13,"3rd","S","Sweden",350054,7.1511,"0","0","yes"
"Asplund, Mrs. Selma Augusta Emilia","female",38,"3rd","S","Sweden",347077,31.0709,"1","5","yes"
"Assaf, Mrs. Mariana","female",45,"3rd","C","Lebanon",2696,7.0406,"0","0","yes"
"Assam, Mr. Ali","male",23,"3rd","S","Argentina",3101309,7.01,"0","0","no"
"Astor, Colonel. John Jacob","male",47,"1st","C","United States",17757,247.1006,"1","0","no"
"Astor, Mrs. Madeleine Talmage","female",18,"1st","C","United States",17757,247.1006,"1","0","yes"
"Attalah, Miss. Malake","female",17,"3rd","C","Lebanon",2627,14.0902,"0","0","no"
"Attala, Mr. Sleiman","male",27,"3rd","C","Canada",2694,7.0406,"0","0","no"
"Aubart, Mme. Léontine Pauline","female",24,"1st","C","France",17477,69.06,"0","0","yes"
"Augustsson, Mr. Albert","male",23,"3rd","S","Sweden",347468,7.1701,"0","0","no"
"Ayoub Daher, Miss. Banoura","female",15,"3rd","C","Lebanon",2687,7.0407,"0","0","yes"
"Backström, Mr. Karl Alfred","male",32,"3rd","S","Finland",3101278,15.17,"1","0","no"
"Backström, Mrs. Maria Mathilda","female",33,"3rd","S","Finland",3101278,15.17,"3","0","yes"
"Baclini, Miss. Eugenie","female",3,"3rd","C","Lebanon",2666,19.0502,"2","1","yes"
